team_name,net_score,overturns_total,overturns_rejected,leading_to_goals_for,leading_to_goals_against,disallowed_goals_for,disallowed_goals_against,net_goal_score,subj_decisions_for,subj_decisions_against,net_subjective_score,penalties_for,penalties_against,year,Big 6,Position,Points,Count for,Count against
Burnley,4,7,0,1,0,1,1,-1,3,0,3,1,0,2020/2021,No,17,39,5,1
Everton,4,7,1,2,0,1,1,2,3,0,3,1,0,2020/2021,No,10,59,6,2
Chelsea,3,13,1,4,0,2,0,2,3,1,2,2,0,2020/2021,Yes,4,67,8,5
Fulham,3,14,1,1,1,2,5,3,5,5,0,2,1,2020/2021,No,18,28,9,6
Sheffield United,3,11,0,3,1,0,3,5,2,3,-1,3,1,2020/2021,No,20,23,7,4
Aston Villa,2,11,1,0,0,3,3,0,5,3,2,0,0,2020/2021,No,11,55,7,5
Leicester City,2,16,0,5,3,2,2,2,4,3,1,4,3,2020/2021,No,5,66,9,7
Brighton & Hove Albion,1,16,1,2,3,3,3,-1,4,4,0,2,3,2020/2021,No,16,41,9,8
Crystal Palace,1,10,1,2,1,0,1,0,4,4,0,2,1,2020/2021,No,14,44,6,5
Leeds,1,9,0,1,1,2,1,-1,3,2,1,0,1,2020/2021,No,9,59,5,4
Manchester City,1,9,0,2,1,2,0,-1,2,2,0,1,1,2020/2021,Yes,1,86,5,4
Manchester United,0,18,1,3,1,3,1,0,7,3,4,3,1,2020/2021,Yes,2,74,9,9
Newcastle,0,10,0,2,3,1,1,-1,3,3,0,2,3,2020/2021,No,12,45,5,5
Southampton,0,14,0,2,1,3,4,0,3,3,0,2,2,2020/2021,No,15,43,7,7
West Ham,-1,12,0,2,1,1,3,3,2,2,0,1,1,2020/2021,No,6,65,5,6
Tottenham Hotspur,-3,16,1,2,5,4,5,-2,3,5,-2,2,4,2020/2021,Yes,7,62,7,10
Wolves,-3,11,0,0,3,2,2,-3,1,4,-3,0,2,2020/2021,No,13,45,4,7
Arsenal,-6,12,0,1,1,2,2,0,2,3,-1,1,0,2020/2021,Yes,8,61,3,9
Liverpool,-6,18,2,0,3,7,3,-7,3,6,-3,0,3,2020/2021,Yes,3,69,7,13
West Brom,-6,12,0,0,4,0,2,-2,1,6,-5,0,2,2020/2021,No,19,26,3,9
