"","team","count_for","count_against","year"
"1","Brighton & Hove Albion ","10","2","2019/2020"
"2","Manchester United ","10","3","2019/2020"
"3","Crystal Palace ","8","4","2019/2020"
"4","Leicester City ","8","7","2019/2020"
"5","Manchester City ","8","8","2019/2020"
"6","Southampton ","8","5","2019/2020"
"7","Tottenham Hotspur ","8","7","2019/2020"
"8","Burnley ","7","4","2019/2020"
"9","West Ham ","6","10","2019/2020"
"10","AFC Bournemouth ","5","7","2019/2020"
"11","Chelsea ","5","7","2019/2020"
"12","Liverpool ","5","3","2019/2020"
"13","Arsenal ","4","5","2019/2020"
"14","Everton ","3","4","2019/2020"
"15","Newcastle ","3","0","2019/2020"
"16","Sheffield United ","3","8","2019/2020"
"17","Aston Villa ","2","5","2019/2020"
"18","Norwich City ","2","9","2019/2020"
"19","Watford ","2","4","2019/2020"
"20","Wolves ","2","7","2019/2020"
